0,X,GSIS_ID,TEAM,FULL_NAME,PROFILE_ID,passing_yds,temp
1,0,2015120603,CIN,AJ McCarron,2543497,19,45
2,1,2015122012,CIN,AJ McCarron,2543497,192,50
3,2,2015122800,CIN,AJ McCarron,2543497,205,25
4,3,2015121302,CIN,AJ McCarron,2543497,280,51
5,4,2016010302,CIN,AJ McCarron,2543497,161,35
6,5,2015112902,CIN,AJ McCarron,2543497,3,41
7,6,2014112305,GB,Aaron Rodgers,2506363,209,42
8,7,2009092002,GB,Aaron Rodgers,2506363,261,45
9,8,2014122107,GB,Aaron Rodgers,2506363,318,76
10,9,2013122901,GB,Aaron Rodgers,2506363,318,34
11,10,2013101300,GB,Aaron Rodgers,2506363,315,62
12,11,2010122611,GB,Aaron Rodgers,2506363,405,25
13,12,2015110111,GB,Aaron Rodgers,2506363,80,62
14,13,2015111501,GB,Aaron Rodgers,2506363,333,55
15,14,2011112400,GB,Aaron Rodgers,2506363,307,37
16,15,2012101411,GB,Aaron Rodgers,2506363,338,81
17,16,2014110910,GB,Aaron Rodgers,2506363,315,33
18,17,2012102800,GB,Aaron Rodgers,2506363,186,43
19,18,2014091411,GB,Aaron Rodgers,2506363,346,60
20,19,2015120300,GB,Aaron Rodgers,2506363,277,36
21,20,2011100211,GB,Aaron Rodgers,2506363,408,35
22,21,2011111400,GB,Aaron Rodgers,2506363,250,49
23,22,2014092801,GB,Aaron Rodgers,2506363,302,79
24,23,2011092511,GB,Aaron Rodgers,2506363,297,57
25,24,2016091813,GB,Aaron Rodgers,2506363,213,75
26,25,2011101605,GB,Aaron Rodgers,2506363,310,56
27,26,2009111510,GB,Aaron Rodgers,2506363,198,42
28,27,2010092700,GB,Aaron Rodgers,2506363,316,52
29,28,2009122703,GB,Aaron Rodgers,2506363,237,16
30,29,2010120506,GB,Aaron Rodgers,2506363,298,26
...,...,...,...,...,...,...,...
2158,2157,2009112201,DAL,Tony Romo,2505354,158,47
2159,2158,2011112401,DAL,Tony Romo,2505354,227,45
2160,2159,2014100501,DAL,Tony Romo,2505354,324,64
2161,2160,2016092506,WAS,Tress Way,2541903,31,64
2162,2161,2016092508,SEA,Trevone Boykin,2556477,65,69
2163,2162,2016092502,DEN,Trevor Siemian,2553457,312,68
2164,2163,2016100208,DEN,Trevor Siemian,2553457,68,87
2165,2164,2016090800,DEN,Trevor Siemian,2553457,185,81
2166,2165,2016091810,DEN,Trevor Siemian,2553457,266,80
2167,2166,2016101300,DEN,Trevor Siemian,2553457,230,66
2168,2167,2015101106,BUF,Tyrod Taylor,2495240,109,68
2169,2168,2015112908,BUF,Tyrod Taylor,2495240,291,36
2170,2169,2015122709,BUF,Tyrod Taylor,2495240,179,46
2171,2170,2015112300,BUF,Tyrod Taylor,2495240,233,40
2172,2171,2015120601,BUF,Tyrod Taylor,2495240,211,44
2173,2172,2015110804,BUF,Tyrod Taylor,2495240,188,46
2174,2173,2015091304,BUF,Tyrod Taylor,2495240,195,53
2175,2174,2015122007,BUF,Tyrod Taylor,2495240,235,28
2176,2175,2015111200,BUF,Tyrod Taylor,2495240,158,54
2177,2176,2016010300,BUF,Tyrod Taylor,2495240,182,34
2178,2177,2016100909,BUF,Tyrod Taylor,2495240,124,88
2179,2178,2015100407,BUF,Tyrod Taylor,2495240,280,54
2180,2179,2016091101,BUF,Tyrod Taylor,2495240,115,81
2181,2180,2015092712,BUF,Tyrod Taylor,2495240,277,87
2182,2181,2016092500,BUF,Tyrod Taylor,2495240,119,62
2183,2182,2016100205,BUF,Tyrod Taylor,2495240,246,53
2184,2183,2015121300,BUF,Tyrod Taylor,2495240,268,57
2185,2184,2016091500,BUF,Tyrod Taylor,2495240,299,66
2186,2185,2015092001,BUF,Tyrod Taylor,2495240,243,57
2187,2186,2014111700,PIT,Zach Mettenberger,2543605,268,32